Input	Output
4436  1.97260273972603     0.016077170418006267	4437  1.97260273972603     0.016077170418006267
4437  1.97260273972603     0.016077170418006267	4438  1.97260273972603     0.016077170418006267
4438  1.97260273972603     0.016077170418006267	4439  1.97260273972603     0.019230769230769693
4439  1.97260273972603     0.019230769230769693	4440  1.97260273972603     0.022364217252395614
4440  1.97260273972603     0.022364217252395614	4441  1.97260273972603     0.022364217252395614
4441  1.97260273972603     0.022364217252395614	4442  1.97260273972603     0.028938906752410683
4442  1.97260273972603     0.028938906752410683	4443  1.97260273972603     0.028938906752410683
4443  1.97260273972603     0.028938906752410683	4444  1.97260273972603      0.03536977491961291
4444  1.97260273972603      0.03536977491961291	4445  1.97260273972603      0.03536977491961291
4445  1.97260273972603      0.03536977491961291	4446  1.97260273972603      0.03536977491961291
4446  1.97260273972603      0.03536977491961291	4447  1.97260273972603      0.04516129032257969
4447  1.97260273972603      0.04516129032257969	4448  1.97260273972603     0.048231511254018956
4448  1.97260273972603     0.048231511254018956	4449  1.97260273972603     0.048231511254018956
4449  1.97260273972603     0.048231511254018956	4450  1.93737769080235      0.04854368932038807
4450  1.93737769080235      0.04854368932038807	4451  1.93737769080235     0.051612903225806785
4451  1.93737769080235     0.051612903225806785	4452  1.93737769080235       0.0580645161290321
4452  1.93737769080235       0.0580645161290321	4453  1.93737769080235     0.061488673139157304
4453  1.93737769080235     0.061488673139157304	4454  1.93737769080235     0.061488673139157304
4454  1.93737769080235     0.061488673139157304	4455  1.93737769080235      0.06796116504854219
4455  1.93737769080235      0.06796116504854219	4456  1.93737769080235      0.07096774193548297
4456  1.93737769080235      0.07096774193548297	4457  1.93737769080235      0.07792207792207839
4457  1.93737769080235      0.07792207792207839	4458  1.93737769080235      0.08090614886731497
4458  1.93737769080235      0.08090614886731497	4459  1.93737769080235      0.08441558441558433
4459  1.93737769080235      0.08441558441558433	4460  1.93737769080235      0.08737864077669953
4460  1.93737769080235      0.08737864077669953	4461  1.90215264187867     -0.09324758842443774
4461  1.90215264187867     -0.09324758842443774	4462  1.86692759295499     -0.09324758842443774
4462  1.86692759295499     -0.09324758842443774	4463  1.86692759295499     -0.09324758842443774
4463  1.86692759295499     -0.09324758842443774	4464  1.86692759295499     -0.08626198083066998
4464  1.86692759295499     -0.08626198083066998	4465  1.86692759295499     -0.08974358974358948
4465  1.86692759295499     -0.08974358974358948	4466  1.86692759295499     -0.09265175718849872
4466  1.86692759295499     -0.09265175718849872	4467  1.84931506849315     0.029126213592232154
4467  1.84931506849315     0.029126213592232154	4468  1.84931506849315     0.032258064516128795
4468  1.84931506849315     0.032258064516128795	4469  1.84931506849315     0.038961038961038384
4469  1.84931506849315     0.038961038961038384	4470  1.84931506849315      0.04516129032257969
4470  1.84931506849315      0.04516129032257969	4471  1.84931506849315      0.04854368932038631
4471  1.84931506849315      0.04854368932038631	4472  1.84931506849315      0.05194805194805058
4472  1.84931506849315      0.05194805194805058	4473  1.84931506849315     0.055016181229772705
4473  1.84931506849315     0.055016181229772705	4474  1.76125244618395      0.04516129032257969
4474  1.76125244618395      0.04516129032257969	4475  1.76125244618395     0.048231511254018956
4475  1.76125244618395     0.048231511254018956	4476  1.76125244618395     0.054662379421222804
4476  1.76125244618395     0.054662379421222804	4477  1.76125244618395     0.055016181229772705
4477  1.76125244618395     0.055016181229772705	4478  1.76125244618395       0.0645161290322591
4478  1.76125244618395       0.0645161290322591	4479  1.76125244618395       0.0645161290322591
4479  1.76125244618395       0.0645161290322591	4480  1.76125244618395       0.0645161290322591
4480  1.76125244618395       0.0645161290322591	4481  1.72602739726027       0.0645161290322591
4481  1.72602739726027       0.0645161290322591	4482  1.72602739726027      0.06752411575562714
4482  1.72602739726027      0.06752411575562714	4483  1.72602739726027      0.07096774193548297
4483  1.72602739726027      0.07096774193548297	4484  1.72602739726027      0.07443365695792858
4484  1.72602739726027      0.07443365695792858	4485  1.72602739726027      0.07443365695792858
4485  1.72602739726027      0.07443365695792858	4486  1.72602739726027      0.07443365695792858
4486  1.72602739726027      0.07443365695792858	4487  1.72602739726027      0.08038585209003163
4487  1.72602739726027      0.08038585209003163	4488  1.72602739726027      0.07692307692307572
4488  1.72602739726027      0.07692307692307572	4489  1.72602739726027      0.07692307692307572
4489  1.72602739726027      0.07692307692307572	4490  1.72602739726027      0.08387096774193566
4490  1.72602739726027      0.08387096774193566	4491  1.69080234833659      0.08387096774193566
4491  1.69080234833659      0.08387096774193566	4492  1.69080234833659      0.08387096774193566
4492  1.69080234833659      0.08387096774193566	4493  1.69080234833659      0.08626198083067149
4493  1.69080234833659      0.08626198083067149	4494  1.69080234833659      0.08333333333333331
4494  1.69080234833659      0.08333333333333331	4495  1.69080234833659       0.0868167202572354
4495  1.69080234833659       0.0868167202572354	4496  1.69080234833659      0.08626198083067149
4496  1.69080234833659      0.08626198083067149	4497  1.69080234833659      0.09032258064516267
4497  1.69080234833659      0.09032258064516267	4498  1.69080234833659      0.09324758842443925
4498  1.69080234833659      0.09324758842443925	4499  1.69080234833659      0.09032258064516267
4499  1.69080234833659      0.09032258064516267	4500  1.69080234833659      0.09324758842443925
4500  1.69080234833659      0.09324758842443925	4501  1.69080234833659      0.09324758842443925
4501  1.69080234833659      0.09324758842443925	4502  1.69080234833659        0.096774193548388
4502  1.69080234833659        0.096774193548388	4503  1.69080234833659        0.096774193548388
4503  1.69080234833659        0.096774193548388	4504  1.69080234833659        0.096774193548388
4504  1.69080234833659        0.096774193548388	4505  1.69080234833659        0.096774193548388
4505  1.69080234833659        0.096774193548388	4506  1.69080234833659      0.09967845659163983
4506  1.69080234833659      0.09967845659163983	4507  1.69080234833659      0.09967845659163983
4507  1.69080234833659      0.09967845659163983	4508  1.69080234833659      0.09967845659163983
4508  1.69080234833659      0.09967845659163983	4509  1.69080234833659      0.09324758842443925
4509  1.69080234833659      0.09324758842443925	4510  1.69080234833659      0.09324758842443925
4510  1.69080234833659      0.09324758842443925	4511  1.69080234833659      0.09324758842443925
4511  1.69080234833659      0.09324758842443925	4512  1.69080234833659      0.09324758842443925
4512  1.69080234833659      0.09324758842443925	4513  1.69080234833659      0.09324758842443925
4513  1.69080234833659      0.09324758842443925	4514  1.69080234833659        0.089743589743591
4514  1.69080234833659        0.089743589743591	4515  1.69080234833659      0.08387096774193566
4515  1.69080234833659      0.08387096774193566	4516  1.69080234833659      0.08333333333333331
4516  1.69080234833659      0.08333333333333331	4517  1.69080234833659      0.08038585209003163
4517  1.69080234833659      0.08038585209003163	4518  1.69080234833659      0.07692307692307572
4518  1.69080234833659      0.07692307692307572	4519  1.69080234833659      0.07692307692307572
4519  1.69080234833659      0.07692307692307572	4520  1.69080234833659      0.07692307692307572
4520  1.69080234833659      0.07692307692307572	4521  1.69080234833659      0.07395498392282777
4521  1.69080234833659      0.07395498392282777	4522  1.69080234833659      0.07051282051281975
4522  1.69080234833659      0.07051282051281975	4523  1.69080234833659      0.06709265175718883
4523  1.69080234833659      0.06709265175718883	4524  1.69080234833659      0.05769230769230923
4524  1.69080234833659      0.05769230769230923	4525  1.69080234833659     0.048231511254018956
4525  1.69080234833659     0.048231511254018956	4526  1.69080234833659       0.0415335463258786
4526  1.69080234833659       0.0415335463258786	4527  1.86692759295499     -0.08974358974358948
4527  1.86692759295499     -0.08974358974358948	4528  1.86692759295499     -0.09265175718849872
4528  1.86692759295499     -0.09265175718849872	4529  1.86692759295499     -0.09324758842443774
4529  1.86692759295499     -0.09324758842443774	4530  1.86692759295499     -0.09265175718849872
4530  1.86692759295499     -0.09265175718849872	4531  1.86692759295499     -0.09615384615384717
4531  1.86692759295499     -0.09615384615384717	4532  1.86692759295499     -0.09554140127388625
4532  1.86692759295499     -0.09554140127388625	4533  1.69080234833659      0.03846153846153785
4533  1.69080234833659      0.03846153846153785	4534  1.69080234833659      0.03184713375795987
4534  1.69080234833659      0.03184713375795987	4535  1.69080234833659     0.019230769230768052
4535  1.69080234833659     0.019230769230768052	4536  1.69080234833659     0.019230769230768052
4536  1.69080234833659     0.019230769230768052	4537  1.69080234833659     0.015974440894566868
4537  1.69080234833659     0.015974440894566868	4538  1.69080234833659     0.009646302250804008
4538  1.69080234833659     0.009646302250804008	4539  1.69080234833659   -7.273384174146855e-17
4539  1.69080234833659   -7.273384174146855e-17	4540  1.69080234833659    -0.009646302250804113
4540  1.69080234833659    -0.009646302250804113	4541  1.69080234833659    -0.006410256410256018
4541  1.69080234833659    -0.006410256410256018	4542  1.69080234833659    -0.006410256410256018
4542  1.69080234833659    -0.006410256410256018	4543  1.69080234833659    -0.015974440894570202
4543  1.69080234833659    -0.015974440894570202	4544  1.69080234833659    -0.015974440894570202
4544  1.69080234833659    -0.015974440894570202	4545  1.69080234833659    -0.022364217252395614
4545  1.69080234833659    -0.022364217252395614	4546  1.69080234833659    -0.028753993610222718
4546  1.69080234833659    -0.028753993610222718	4547  1.69080234833659     -0.03514376996804985
4547  1.69080234833659     -0.03514376996804985	4548  1.69080234833659    -0.038216560509553486
4548  1.69080234833659    -0.038216560509553486	4549  1.69080234833659    -0.050955414012737545
4549  1.69080234833659    -0.050955414012737545	4550  1.69080234833659     -0.05732484076433117
4550  1.69080234833659     -0.05732484076433117	4551  1.69080234833659     -0.05732484076433117
4551  1.69080234833659     -0.05732484076433117	4552  1.69080234833659     -0.07006369426751832
4552  1.69080234833659     -0.07006369426751832	4553  1.69080234833659     -0.07301587301587446
4553  1.69080234833659     -0.07301587301587446	4554  1.69080234833659     -0.07643312101910864
4554  1.69080234833659     -0.07643312101910864	4555  1.69080234833659      -0.0862619808306715
4555  1.69080234833659      -0.0862619808306715	4556  1.69080234833659     -0.08917197452229263
4556  1.69080234833659     -0.08917197452229263	4557  1.86692759295499     -0.09265175718849872
4557  1.86692759295499     -0.09265175718849872	4558  1.86692759295499     -0.09265175718849872
4558  1.86692759295499     -0.09265175718849872	4559  1.86692759295499     -0.09265175718849872
4559  1.86692759295499     -0.09265175718849872	4560  1.86692759295499     -0.09324758842443774
4560  1.86692759295499     -0.09324758842443774	4561  1.86692759295499     -0.08974358974358948
4561  1.86692759295499     -0.08974358974358948	4562  1.86692759295499     -0.09324758842443774
4562  1.86692759295499     -0.09324758842443774	4563  1.86692759295499     -0.08974358974358948
4563  1.86692759295499     -0.08974358974358948	4564  1.86692759295499     -0.09032258064516269
4564  1.86692759295499     -0.09032258064516269	4565  1.86692759295499     -0.08974358974358948
4565  1.86692759295499     -0.08974358974358948	4566  1.86692759295499     -0.08974358974358948
4566  1.86692759295499     -0.08974358974358948	4567  1.86692759295499     -0.08681672025723541
4567  1.86692759295499     -0.08681672025723541	4568  1.86692759295499     -0.08333333333333333
4568  1.86692759295499     -0.08333333333333333	4569  1.86692759295499     -0.08333333333333333
4569  1.86692759295499     -0.08333333333333333	4570  1.86692759295499     -0.08333333333333333
4570  1.86692759295499     -0.08333333333333333	4571  1.86692759295499     -0.08333333333333333
4571  1.86692759295499     -0.08333333333333333	4572  1.86692759295499     -0.08333333333333333
4572  1.86692759295499     -0.08333333333333333	4573  1.86692759295499     -0.08333333333333333
4573  1.86692759295499     -0.08333333333333333	4574  1.86692759295499     -0.07692307692307565
4574  1.86692759295499     -0.07692307692307565	4575  1.86692759295499     -0.07096774193548297
4575  1.86692759295499     -0.07096774193548297	4576  1.86692759295499     -0.07096774193548297
4576  1.86692759295499     -0.07096774193548297	4577  1.86692759295499     -0.06752411575562714
4577  1.86692759295499     -0.06752411575562714	4578  1.86692759295499     -0.06451612903225759
4578  1.86692759295499     -0.06451612903225759	4579  1.86692759295499     -0.06109324758842507
4579  1.86692759295499     -0.06109324758842507	4580  1.86692759295499     -0.06109324758842507
4580  1.86692759295499     -0.06109324758842507	4581  1.86692759295499     -0.05806451612903228
4581  1.86692759295499     -0.05806451612903228	4582  1.86692759295499      -0.0550161812297744
4582  1.86692759295499      -0.0550161812297744	4583  1.86692759295499     -0.05194805194805388
4583  1.86692759295499     -0.05194805194805388	4584  1.86692759295499     -0.04516129032258131
4584  1.86692759295499     -0.04516129032258131	4585  1.86692759295499     -0.04234527687296434
4585  1.86692759295499     -0.04234527687296434	4586  1.86692759295499    -0.035830618892507014
4586  1.86692759295499    -0.035830618892507014	4587  1.84931506849315    -0.038709677419354216
4587  1.84931506849315    -0.038709677419354216	4588  1.84931506849315     -0.04180064308681671
4588  1.84931506849315     -0.04180064308681671	4589  1.84931506849315    -0.038709677419354216
4589  1.84931506849315    -0.038709677419354216	4590  1.84931506849315     -0.03559870550161696
4590  1.84931506849315     -0.03559870550161696	4591  1.84931506849315    -0.032467532467530674
4591  1.84931506849315    -0.032467532467530674	4592  1.84931506849315     -0.02580645161290178
4592  1.84931506849315     -0.02580645161290178	4593  1.84931506849315     -0.02580645161290178
4593  1.84931506849315     -0.02580645161290178	4594  1.84931506849315     -0.01935483870967627
4594  1.84931506849315     -0.01935483870967627	4595  1.84931506849315    -0.016181229773462587
4595  1.84931506849315    -0.016181229773462587	4596  1.84931506849315    -0.009708737864077832
4596  1.84931506849315    -0.009708737864077832	4597  1.84931506849315     -0.00645161290322702
4597  1.84931506849315     -0.00645161290322702	4598  1.84931506849315   -0.0032362459546948874
4598  1.84931506849315   -0.0032362459546948874	4599  1.84931506849315     0.006451612903225325
4599  1.84931506849315     0.006451612903225325	4600  1.84931506849315     0.009708737864077832
4600  1.84931506849315     0.009708737864077832	4601  1.84931506849315     0.012903225806452406
4601  1.84931506849315     0.012903225806452406	4602  1.84931506849315     0.012903225806452406
4602  1.84931506849315     0.012903225806452406	4603  1.84931506849315      0.01935483870967791
4603  1.84931506849315      0.01935483870967791	4604  1.84931506849315     0.029126213592232154
4604  1.84931506849315     0.029126213592232154	4605  1.69080234833659     -0.09206349206349082
4605  1.69080234833659     -0.09206349206349082	4606  1.69080234833659     -0.08917197452229263
4606  1.69080234833659     -0.08917197452229263	4607  1.69080234833659     -0.09206349206349082
4607  1.69080234833659     -0.09206349206349082	4608  1.69080234833659     -0.09206349206349082
4608  1.69080234833659     -0.09206349206349082	4609  1.69080234833659     -0.09493670886075883
4609  1.69080234833659     -0.09493670886075883	4610  1.69080234833659      -0.0955414012738848
4610  1.69080234833659      -0.0955414012738848	4611  1.69080234833659     0.016077170418006267
4611  1.69080234833659     0.016077170418006267	4612  1.69080234833659      0.01935483870967627
4612  1.69080234833659      0.01935483870967627	4613  1.69080234833659     0.022653721682847395
4613  1.69080234833659     0.022653721682847395	4614  1.69080234833659      0.02912621359223215
4614  1.69080234833659      0.02912621359223215	4615  1.69080234833659      0.03559870550161689
4615  1.69080234833659      0.03559870550161689	4616  1.69080234833659     0.042071197411003285
4616  1.69080234833659     0.042071197411003285	4617  1.69080234833659     0.038709677419354216
4617  1.69080234833659     0.038709677419354216	4618  1.69080234833659      0.05194805194805228
4618  1.69080234833659      0.05194805194805228	4619  1.69080234833659      0.05844155844155828
4619  1.69080234833659      0.05844155844155828	4620  1.69080234833659      0.06493506493506433
4620  1.69080234833659      0.06493506493506433	4621  1.69080234833659      0.06493506493506433
4621  1.69080234833659      0.06493506493506433	4622  1.69080234833659      0.07491856677524568
4622  1.69080234833659      0.07491856677524568	4623  1.69080234833659       0.0844155844155847
4623  1.69080234833659       0.0844155844155847	4624  1.69080234833659      0.08737864077669989
4624  1.69080234833659      0.08737864077669989	4625  1.69080234833659      0.09385113268608454
4625  1.69080234833659      0.09385113268608454	4626  1.69080234833659      0.10097719869706837
4626  1.69080234833659      0.10097719869706837	4627  1.69080234833659      0.10097719869706837
4627  1.69080234833659      0.10097719869706837	4628  1.69080234833659       0.1067961165048554
4628  1.69080234833659       0.1067961165048554	4629  1.69080234833659       0.1132686084142384
4629  1.69080234833659       0.1132686084142384	4630  1.69080234833659      0.12052117263843683
4630  1.69080234833659      0.12052117263843683	4631  1.69080234833659      0.12337662337662428
4631  1.69080234833659      0.12337662337662428	4632  1.69080234833659      0.13071895424836838
4632  1.69080234833659      0.13071895424836838	4633  1.69080234833659      0.11038961038961026
4633  1.69080234833659      0.11038961038961026	4634  1.69080234833659      0.11038961038961026
4634  1.69080234833659      0.11038961038961026	4635  1.69080234833659      0.10749185667752371
4635  1.69080234833659      0.10749185667752371	4636  1.69080234833659      0.10749185667752371
4636  1.69080234833659      0.10749185667752371	4637  1.69080234833659      0.10749185667752371
4637  1.69080234833659      0.10749185667752371	4638  1.69080234833659      0.10749185667752371
4638  1.69080234833659      0.10749185667752371	4639  1.69080234833659      0.10749185667752371
4639  1.69080234833659      0.10749185667752371	4640  1.69080234833659      0.10749185667752371
4640  1.69080234833659      0.10749185667752371	4641  1.69080234833659      0.10749185667752371
4641  1.69080234833659      0.10749185667752371	4642  1.69080234833659       0.1045751633986916
4642  1.69080234833659       0.1045751633986916	4643  1.69080234833659      0.10097719869706828
4643  1.69080234833659      0.10097719869706828	4644  1.69080234833659      0.10097719869706828
4644  1.69080234833659      0.10097719869706828	4645  1.69080234833659       0.0974025974025985
4645  1.69080234833659       0.0974025974025985	4646  1.69080234833659       0.0974025974025985
4646  1.69080234833659       0.0974025974025985	4647  1.69080234833659       0.0974025974025985
4647  1.69080234833659       0.0974025974025985	4648  1.69080234833659      0.09090909090909072
4648  1.69080234833659      0.09090909090909072	4649  1.69080234833659      0.09090909090909072
4649  1.69080234833659      0.09090909090909072	4650  1.69080234833659      0.08143322475569974
4650  1.69080234833659      0.08143322475569974	4651  1.69080234833659      0.08496732026143802
4651  1.69080234833659      0.08496732026143802	4652  1.69080234833659      0.08196721311475512
4652  1.69080234833659      0.08196721311475512	4653  1.69080234833659      0.07843137254901993
4653  1.69080234833659      0.07843137254901993	4654  1.69080234833659      0.07843137254901993
4654  1.69080234833659      0.07843137254901993	4655  1.69080234833659      0.08143322475569974
4655  1.69080234833659      0.08143322475569974	4656  1.69080234833659      0.07843137254901993
4656  1.69080234833659      0.07843137254901993	4657  1.69080234833659      0.08196721311475512
4657  1.69080234833659      0.08196721311475512	4658  1.69080234833659      0.08143322475569974
4658  1.69080234833659      0.08143322475569974	4659  1.69080234833659      0.06493506493506607
4659  1.69080234833659      0.06493506493506607	4660  1.69080234833659      0.06148867313915902
4660  1.69080234833659      0.06148867313915902	4661  1.69080234833659      0.05844155844155828
4661  1.69080234833659      0.05844155844155828	4662  1.74363992172211      0.05844155844155828
4662  1.74363992172211      0.05844155844155828	4663  1.74363992172211       0.0550161812297744
4663  1.74363992172211       0.0550161812297744	4664  1.74363992172211      0.05194805194805228
4664  1.74363992172211      0.05194805194805228	4665  1.74363992172211     0.051612903225806715
4665  1.74363992172211     0.051612903225806715	4666  1.74363992172211      0.04207119741100328
4666  1.74363992172211      0.04207119741100328	4667  1.74363992172211      0.04207119741100328
4667  1.74363992172211      0.04207119741100328	4668  1.74363992172211      0.04207119741100328
4668  1.74363992172211      0.04207119741100328	4669  1.69080234833659     -0.09841269841269844
4669  1.69080234833659     -0.09841269841269844	4670  1.69080234833659     -0.09493670886075883
4670  1.69080234833659     -0.09493670886075883	4671  1.69080234833659     -0.09841269841269844
4671  1.69080234833659     -0.09841269841269844	4672  1.69080234833659     -0.09841269841269844
4672  1.69080234833659     -0.09841269841269844	4673  1.69080234833659      -0.0955414012738848
4673  1.69080234833659      -0.0955414012738848	4674  1.69080234833659      -0.0955414012738848
4674  1.69080234833659      -0.0955414012738848	4675  1.74363992172211      0.03225806451612714
4675  1.74363992172211      0.03225806451612714	4676  1.74363992172211      0.03225806451612714
4676  1.74363992172211      0.03225806451612714	4677  1.74363992172211     0.028938906752410683
4677  1.74363992172211     0.028938906752410683	4678  1.74363992172211      0.01935483870967627
4678  1.74363992172211      0.01935483870967627	4679  1.74363992172211     0.022653721682847395
4679  1.74363992172211     0.022653721682847395	4680  1.74363992172211      0.01298701298701216
4680  1.74363992172211      0.01298701298701216	4681  1.74363992172211      0.01298701298701216
4681  1.74363992172211      0.01298701298701216	4682  1.74363992172211     0.009708737864077832
4682  1.74363992172211     0.009708737864077832	4683  1.74363992172211     0.006451612903227019
4683  1.74363992172211     0.006451612903227019	4684  1.74363992172211      0.00323624595469313
4684  1.74363992172211      0.00323624595469313	4685  1.74363992172211   -7.320309233334909e-17
4685  1.74363992172211   -7.320309233334909e-17	4686  1.74363992172211     -0.00649350649350609
4686  1.74363992172211     -0.00649350649350609	4687  1.99021526418787     0.019607843137255384
4687  1.99021526418787     0.019607843137255384	4688  1.99021526418787     0.019607843137255384
4688  1.99021526418787     0.019607843137255384	4689  1.99021526418787     0.016393442622950734
4689  1.99021526418787     0.016393442622950734	4690  1.99021526418787      0.01628664495114154
4690  1.99021526418787      0.01628664495114154	4691  1.99021526418787      0.01307189542483751
4691  1.99021526418787      0.01307189542483751	4692  1.99021526418787     0.009836065573770756
4692  1.99021526418787     0.009836065573770756	4693  1.99021526418787     0.006535947712417904
4693  1.99021526418787     0.006535947712417904	4694  1.99021526418787     0.006535947712417904
4694  1.99021526418787     0.006535947712417904	4695  1.99021526418787     0.006535947712417904
4695  1.99021526418787     0.006535947712417904	4696  2.28962818003914     0.026490066225165736
4696  2.28962818003914     0.026490066225165736	4697  2.28962818003914     0.026490066225165736
4697  2.28962818003914     0.026490066225165736	4698  2.28962818003914       0.0231023102310226
4698  2.28962818003914       0.0231023102310226	4699  1.69080234833659     -0.09841269841269844
4699  1.69080234833659     -0.09841269841269844	4700  1.69080234833659     -0.10191082802547843
4700  1.69080234833659     -0.10191082802547843	4701  1.69080234833659     -0.09841269841269844
4701  1.69080234833659     -0.09841269841269844	4702  1.69080234833659     -0.10191082802547843
4702  1.69080234833659     -0.10191082802547843	4703  1.69080234833659     -0.10191082802547843
4703  1.69080234833659     -0.10191082802547843	4704  1.69080234833659     -0.10191082802547843
4704  1.69080234833659     -0.10191082802547843	4705  1.69080234833659     -0.10191082802547843
4705  1.69080234833659     -0.10191082802547843	4706  1.69080234833659     -0.10191082802547843
4706  1.69080234833659     -0.10191082802547843	4707  1.69080234833659     -0.10191082802547843
4707  1.69080234833659     -0.10191082802547843	4708  1.69080234833659     -0.09841269841269844
4708  1.69080234833659     -0.09841269841269844	4709  1.69080234833659     -0.09841269841269844
4709  1.69080234833659     -0.09841269841269844	4710  1.69080234833659     -0.09841269841269844
4710  1.69080234833659     -0.09841269841269844	4711  1.69080234833659     -0.09841269841269844
4711  1.69080234833659     -0.09841269841269844	4712  1.69080234833659      -0.0955414012738848
4712  1.69080234833659      -0.0955414012738848	4713  1.69080234833659      -0.0955414012738848
4713  1.69080234833659      -0.0955414012738848	4714  1.69080234833659     -0.09206349206349082
4714  1.69080234833659     -0.09206349206349082	4715  1.69080234833659     -0.09206349206349082
4715  1.69080234833659     -0.09206349206349082	4716  1.69080234833659     -0.09206349206349082
4716  1.69080234833659     -0.09206349206349082	4717  1.69080234833659     -0.09206349206349082
4717  1.69080234833659     -0.09206349206349082	4718  1.69080234833659     -0.08917197452229263
4718  1.69080234833659     -0.08917197452229263	4719  1.69080234833659      -0.0862619808306715
4719  1.69080234833659      -0.0862619808306715	4720  1.69080234833659     -0.08333333333333333
4720  1.69080234833659     -0.08333333333333333	4721  1.69080234833659     -0.08333333333333333
4721  1.69080234833659     -0.08333333333333333	4722  1.69080234833659     -0.07741935483871004
4722  1.69080234833659     -0.07741935483871004	4723  1.69080234833659     -0.07643312101910864
4723  1.69080234833659     -0.07643312101910864	4724  1.69080234833659     -0.07643312101910864
4724  1.69080234833659     -0.07643312101910864	4725  1.69080234833659     -0.07643312101910864
4725  1.69080234833659     -0.07643312101910864	4726  1.69080234833659     -0.07348242811501728
4726  1.69080234833659     -0.07348242811501728	4727  1.69080234833659     -0.07348242811501728
4727  1.69080234833659     -0.07348242811501728	4728  1.69080234833659     -0.07051282051282125
4728  1.69080234833659     -0.07051282051282125	4729  1.69080234833659     -0.06752411575562714
4729  1.69080234833659     -0.06752411575562714	4730  1.69080234833659     -0.06410256410256533
4730  1.69080234833659     -0.06410256410256533	4731  1.69080234833659     -0.06410256410256533
4731  1.69080234833659     -0.06410256410256533	4732  1.69080234833659     -0.05769230769230764
4732  1.69080234833659     -0.05769230769230764	4733  1.69080234833659    -0.054313099041532906
4733  1.69080234833659    -0.054313099041532906	4734  1.69080234833659     -0.05128205128205003
4734  1.69080234833659     -0.05128205128205003	4735  1.69080234833659    -0.048231511254018956
4735  1.69080234833659    -0.048231511254018956	4736  1.69080234833659    -0.048231511254018956
4736  1.69080234833659    -0.048231511254018956	4737  1.69080234833659    -0.042071197411003285
4737  1.69080234833659    -0.042071197411003285	4738  1.69080234833659    -0.032258064516127144
4738  1.69080234833659    -0.032258064516127144	4739  1.69080234833659     -0.02250803858521012
4739  1.69080234833659     -0.02250803858521012	4740  1.69080234833659    -0.019354838709677913
4740  1.69080234833659    -0.019354838709677913	4741  1.69080234833659    -0.012903225806450817
4741  1.69080234833659    -0.012903225806450817	4742  1.69080234833659    -0.012903225806450817
4742  1.69080234833659    -0.012903225806450817	4743  1.69080234833659    -0.006451612903227092
4743  1.69080234833659    -0.006451612903227092	4744  1.69080234833659    -0.003215434083601998
4744  1.69080234833659    -0.003215434083601998	4745  1.69080234833659    0.0032154340836018517
4745  1.69080234833659    0.0032154340836018517	4746  1.69080234833659     0.009708737864077832
4746  1.69080234833659     0.009708737864077832	4747  2.28962818003914       0.0231023102310226
4747  2.28962818003914       0.0231023102310226	4748  2.28962818003914     0.019736842105262067
4748  2.28962818003914     0.019736842105262067	4749  2.28962818003914     0.016611295681063024
4749  2.28962818003914     0.016611295681063024	4750  2.28962818003914     0.009900990099008557
4750  2.28962818003914     0.009900990099008557	4751  2.28962818003914     0.016611295681063024
4751  2.28962818003914     0.016611295681063024	4752  2.28962818003914     0.016501650165016382
4752  2.28962818003914     0.016501650165016382	4753  2.25440313111546      0.11111111111111294
4753  2.25440313111546      0.11111111111111294	4754  2.25440313111546      0.11111111111111294
4754  2.25440313111546      0.11111111111111294	4755  2.25440313111546      0.11111111111111294
4755  2.25440313111546      0.11111111111111294	4756  2.25440313111546      0.11111111111111294
4756  2.25440313111546      0.11111111111111294	4757  2.25440313111546      0.11111111111111294
4757  2.25440313111546      0.11111111111111294	4758  2.25440313111546      0.11111111111111294
4758  2.25440313111546      0.11111111111111294	4759  2.25440313111546      0.10819672131147665
4759  2.25440313111546      0.10819672131147665	4760  2.25440313111546      0.10526315789473757
4760  2.25440313111546      0.10526315789473757	4761  2.25440313111546      0.10819672131147665
4761  2.25440313111546      0.10819672131147665	4762  2.25440313111546      0.10526315789473757
4762  2.25440313111546      0.10526315789473757	4763  2.25440313111546      0.10526315789473757
4763  2.25440313111546      0.10526315789473757	4764  2.25440313111546      0.10526315789473757
4764  2.25440313111546      0.10526315789473757	4765  2.25440313111546      0.09933774834437188
4765  2.25440313111546      0.09933774834437188	4766  2.25440313111546      0.09933774834437188
4766  2.25440313111546      0.09933774834437188	4767  2.25440313111546      0.09933774834437188
4767  2.25440313111546      0.09933774834437188	4768  2.25440313111546      0.09933774834437188
4768  2.25440313111546      0.09933774834437188	4769  2.25440313111546      0.09933774834437188
4769  2.25440313111546      0.09933774834437188	4770  2.25440313111546      0.09933774834437188
4770  2.25440313111546      0.09933774834437188	4771  2.25440313111546      0.09570957095709601
4771  2.25440313111546      0.09570957095709601	4772  2.25440313111546      0.09570957095709601
4772  2.25440313111546      0.09570957095709601	4773  2.25440313111546      0.09570957095709601
4773  2.25440313111546      0.09570957095709601	4774  2.25440313111546      0.09570957095709601
4774  2.25440313111546      0.09570957095709601	4775  2.25440313111546      0.09570957095709601
4775  2.25440313111546      0.09570957095709601	4776  2.25440313111546      0.08852459016393331
4776  2.25440313111546      0.08852459016393331	4777  2.25440313111546      0.08852459016393331
4777  2.25440313111546      0.08852459016393331	4778  2.25440313111546      0.08552631578947346
4778  2.25440313111546      0.08552631578947346	4779  2.25440313111546      0.08196721311475504
